epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,4.073802778041128e-05,0,,,,,,,
0,,49,,0.0123978890478611,,,,,
0,,99,,0.01018453761935234,,,,,
0,,149,,0.009164372459053993,,,,,
0,,199,,0.00989394262433052,,,,,
0,,249,,0.009278841316699982,,,,,
0,,299,,0.0089362021535635,,,,,
0,,349,,0.008955216966569424,,,,,
0,,399,,0.008547130972146988,,,,,
0,,449,,0.00831611454486847,,,,,
0,,499,,0.009018496610224247,,,,,
0,,549,,0.009390223771333694,,,,,
0,,599,,0.009238344617187977,,,,,
0,,649,,0.009381511248648167,,,,,
0,,699,,0.0087486756965518,,,,,
0,,749,,0.008703155443072319,,,,,
0,,799,,0.009841651655733585,,,,,
0,,849,,0.008902192115783691,,,,,
0,,864,,,0.008938081562519073,1.8845704793930054,0.011948058381676674,1.571099877357483,0.006097420584410429
0,,864,0.009552761912345886,,,,,,
,4.073802778041128e-05,865,,,,,,,
1,,899,,0.009244291111826897,,,,,
1,,949,,0.009190165437757969,,,,,
1,,999,,0.008925702422857285,,,,,
1,,1049,,0.009628849104046822,,,,,
1,,1099,,0.009105495177209377,,,,,
1,,1149,,0.00823491346091032,,,,,
1,,1199,,0.0086029302328825,,,,,
1,,1249,,0.008869431912899017,,,,,
1,,1299,,0.008274700492620468,,,,,
1,,1349,,0.009584619663655758,,,,,
1,,1399,,0.00875943899154663,,,,,
1,,1449,,0.00878867506980896,,,,,
1,,1499,,0.00875434372574091,,,,,
1,,1549,,0.009104353375732899,,,,,
1,,1599,,0.009473261423408985,,,,,
1,,1649,,0.009110172279179096,,,,,
1,,1699,,0.008897294290363789,,,,,
1,,1729,,,0.00864489283412695,1.5803613662719727,0.011746812611818314,1.6190441846847534,0.0059312148950994015
1,,1729,0.008884451352059841,,,,,,
,4.073802778041128e-05,1730,,,,,,,
2,,1749,,0.008829602040350437,,,,,
2,,1799,,0.008967332541942596,,,,,
2,,1849,,0.009471727535128593,,,,,
2,,1899,,0.009225094690918922,,,,,
2,,1949,,0.008355731144547462,,,,,
2,,1999,,0.008811081759631634,,,,,
2,,2049,,0.008768605999648571,,,,,
2,,2099,,0.008715271018445492,,,,,
2,,2149,,0.009205208159983158,,,,,
2,,2199,,0.008442501537501812,,,,,
2,,2249,,0.008781283162534237,,,,,
2,,2299,,0.008797233924269676,,,,,
2,,2349,,0.008772221393883228,,,,,
2,,2399,,0.008569225668907166,,,,,
2,,2449,,0.009213859215378761,,,,,
2,,2499,,0.00920942798256874,,,,,
2,,2549,,0.008898605592548847,,,,,
2,,2594,,,0.008610314689576626,1.5235021114349365,0.011737610213458538,1.6294866800308228,0.005748786497861147
2,,2594,0.008847355842590332,,,,,,
,4.073802778041128e-05,2595,,,,,,,
3,,2599,,0.007894228212535381,,,,,
3,,2649,,0.00955185480415821,,,,,
3,,2699,,0.00833191629499197,,,,,
3,,2749,,0.00853724218904972,,,,,
3,,2799,,0.008488329127430916,,,,,
3,,2849,,0.00819320511072874,,,,,
3,,2899,,0.00908536184579134,,,,,
3,,2949,,0.00940023735165596,,,,,
3,,2999,,0.008599117398262024,,,,,
3,,3049,,0.00837051123380661,,,,,
3,,3099,,0.00993371568620205,,,,,
3,,3149,,0.008298450149595737,,,,,
3,,3199,,0.008753007277846336,,,,,
3,,3249,,0.008730338886380196,,,,,
3,,3299,,0.007901743054389954,,,,,
3,,3349,,0.009000680409371853,,,,,
3,,3399,,0.009685201570391655,,,,,
3,,3449,,0.008675364777445793,,,,,
