epoch,train_loss,val_loss
0,0.008649131283164024,0.006097420584410429
1,0.009536013007164001,0.0059312148950994015
2,0.008159240707755089,0.005748786497861147
3,0.008481702767312527,0.00562648382037878
4,0.008472857065498829,0.00556254992261529
5,0.009534159675240517,0.005569241009652615
6,0.009794821962714195,0.005569608882069588
7,0.008319682441651821,0.0055732945911586285
8,0.007872338406741619,0.005642749834805727
9,0.008991400711238384,0.00568611454218626
10,0.008219674229621887,0.0057251653634011745
11,0.009209053590893745,0.00574234314262867
12,0.008920982480049133,0.005755547434091568
13,0.008576896972954273,0.0057626646012067795
