epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,4.073802778041128e-05,0,,,,,,,
0,,49,,0.0123978890478611,,,,,
0,,99,,0.01018453761935234,,,,,
0,,149,,0.009164372459053993,,,,,
0,,199,,0.00989394262433052,,,,,
0,,249,,0.009278841316699982,,,,,
0,,299,,0.0089362021535635,,,,,
0,,349,,0.008955216966569424,,,,,
0,,399,,0.008547130972146988,,,,,
0,,449,,0.00831611454486847,,,,,
0,,499,,0.009018496610224247,,,,,
0,,549,,0.009390223771333694,,,,,
0,,599,,0.009238344617187977,,,,,
0,,649,,0.009381511248648167,,,,,
0,,699,,0.0087486756965518,,,,,
0,,749,,0.008703155443072319,,,,,
0,,799,,0.009841651655733585,,,,,
0,,849,,0.008902192115783691,,,,,
0,,864,,,0.008938081562519073,1.8845704793930054,0.011948058381676674,1.571099877357483,0.006097420584410429
0,,864,0.009552761912345886,,,,,,
,4.073802778041128e-05,865,,,,,,,
1,,899,,0.009244291111826897,,,,,
1,,949,,0.009190165437757969,,,,,
1,,999,,0.008925702422857285,,,,,
1,,1049,,0.009628849104046822,,,,,
1,,1099,,0.009105495177209377,,,,,
1,,1149,,0.00823491346091032,,,,,
1,,1199,,0.0086029302328825,,,,,
1,,1249,,0.008869431912899017,,,,,
1,,1299,,0.008274700492620468,,,,,
1,,1349,,0.009584619663655758,,,,,
1,,1399,,0.00875943899154663,,,,,
1,,1449,,0.00878867506980896,,,,,
1,,1499,,0.00875434372574091,,,,,
